<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>
WC,150203,511.75,513.75,511.75,513.75,71013
WC,150204,512.00,512.00,511.00,511.00,71013
WC,150205,520.00,526.50,520.00,525.75,84138
WC,150206,519.75,527.75,519.75,527.00,85342
WC,150209,529.00,529.75,527.00,529.75,85342
WC,150210,525.00,525.00,521.00,521.75,86985
WC,150211,521.50,526.75,520.75,525.75,96606
WC,150212,525.75,525.75,521.25,521.25,96606
WC,150213,521.25,533.00,521.25,533.00,92568
WC,150216,533.00,533.00,533.00,533.00,0
WC,150217,536.00,536.00,533.00,534.75,85848
WC,150218,525.50,528.00,525.00,527.75,63119
WC,150219,536.75,536.75,527.75,527.75,63119
WC,150220,511.25,511.25,507.00,507.00,75767
WC,150223,508.75,508.75,503.50,504.00,75767
WC,150224,507.25,507.25,503.50,503.75,66912
WC,150225,497.50,498.00,497.25,497.25,56254
WC,150226,498.25,501.00,498.25,500.50,61630
WC,150227,513.00,513.00,512.00,513.00,67257
WC,150302,500.25,500.75,499.75,500.00,67257
WC,150303,500.00,506.00,500.00,506.00,57834
WC,150304,496.00,496.00,496.00,496.00,94618
WC,150305,481.50,481.50,480.50,480.50,94618
WC,150306,482.25,483.00,480.50,482.50,87945
WC,150309,490.50,490.50,490.00,490.00,65181
WC,150310,493.00,494.00,493.00,493.25,56022
WC,150311,497.25,500.00,497.25,499.00,53452
WC,150312,507.00,507.25,499.00,507.25,70579
WC,150313,501.00,507.25,501.00,502.00,70579
WC,150316,514.50,515.00,502.00,514.00,59482
WC,150317,504.00,514.00,503.50,503.50,59482
WC,150318,511.00,512.00,510.75,510.75,51560
WC,150319,512.00,512.50,510.75,512.00,55533
WC,150320,530.00,530.50,512.00,530.00,70791
WC,150323,534.50,534.50,530.00,534.00,70791
WC,150324,523.50,534.00,523.25,523.50,58101
WC,150325,520.50,520.50,519.00,519.00,57560
WC,150326,499.00,499.50,499.00,499.25,84097
WC,150327,504.50,509.00,504.50,507.75,84097
WC,150330,530.00,531.00,530.00,530.25,88442
WC,150331,527.00,527.00,511.50,511.75,103920
WC,150401,529.00,529.00,528.00,528.50,103920
WC,150402,533.50,536.25,528.50,536.25,83997
